name,textComment,tagName,replyFlag,Label
Dương Châu,Tư vấn mình sản phẩm phù hợp với tuổi,,TRUE,P
Út Dương,Cho mình xem giá đi sop ơi,,TRUE,P
Trần Tâm,Tư van giupm,,TRUE,P
Thạch Hương Giang,"sẻum giá ok mà dùng khá ok các chị em ạ, nên thử 👌🏻",[],TRUE,P
Thao Phan,Đặt trên Tiki mà có thấy j đâu.,,TRUE,N
Thanh Hương's,cho e xin giá cả bộ sản phẩm ạ,,TRUE,P
Ben Su,Ib ah,,TRUE,P
Hải Yến Nguyễn,Tv giúp mình nha,,TRUE,P
Ngan Khanh Ngan Khanh,gia 1san pham hom nay bao nhieu em,,TRUE,P
Woaini Thúy,cho minh xem gia shop oi,,TRUE,P
Nguyễn Thị Như Quỳnh,tư vấn giúp mình với,,TRUE,P
Khánh Huy,Sản phẩm đều trị cái gì,,TRUE,P
Trinh Le,Se rum gia bn,,TRUE,P
Mai Anh Le,Xin giá đi shop ơi!,,TRUE,P
Vỏ Thị Thu,Bn vậy shop,,TRUE,P
Trang Nguyen Nguyen,Cho mình xin giá,,TRUE,P
Nguyễn Xiêm,Cho minh xin giá,,TRUE,P
Nguyễn Thanh Trúc,Cho mình xin giá,,TRUE,P
Ly Suong,Xin giá,,TRUE,P
Nguyễn Thị Phương Lan,Chai nay serum hay kem,,TRUE,P
Ngan Khanh Ngan Khanh,gui chi chi 1ch gui dchi cu nhe,,TRUE,P
Thuytrang Nguyen,Giá bao nhiêu vậy Shop,,TRUE,P
Trắng Sáng,.,,TRUE,O
Huong Long Thi,Gia bn ạ,,TRUE,P
Thao Tran,bao nhiêu  mot chai vau shop,,TRUE,P
Thuý Hạnh,Bị mụn thâm dùg dc k an,,TRUE,P
Nguyễn ThẮm,Ib e với ạ,,TRUE,P
Nguyễn Phụng,Cho mình xin giá với ạ,,TRUE,P
Tuyet Nguyen,.,,TRUE,O
Nguyễn Ly,Ib tư vấn cho mình nhé...,,TRUE,P
Phạm Hiền,Ad chekc inbox giúp mình với ,,TRUE,P
Hạnh Phạm,Hiền Hoyden,,TRUE,P
Hoa Lan,Quỳnh Anh vẫn xinh như ngày nào,,TRUE,P
Trinh Nguyễn,.,,TRUE,O
Lan Durex,Tính mời anh đi ăn tối nhưng lại sợ thành bữa tối của anh.,,TRUE,O
Lin San,Mong Nghi Ngo,,TRUE,P
Minh Hiếu,Có kết quả chưa ad,,TRUE,P
Mai Đặng,Kết quả minigame ad ơi???,,TRUE,P
